file,bucket,blocking,via,first_error
src/ui/panel_widgets/preheat_widget.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/ui/panel_widgets/print_stats_widget.cpp,B,spdlog/fmt/json via shim,,
src/ui/panel_widgets/print_status_widget.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/ui/panel_widgets/printer_image_widget.cpp,B,spdlog/fmt/json via shim,,
src/ui/panel_widgets/shutdown_widget.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/ui/panel_widgets/temp_graph_widget.cpp,B,spdlog/fmt/json via shim,,
src/ui/panel_widgets/temp_stack_widget.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/ui/panel_widgets/thermistor_widget.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/ui/panel_widgets/tips_widget.cpp,B,spdlog/fmt/json via shim,,
src/ui/panel_widgets/tool_switcher_widget.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/ui/panel_widgets/width_sensor_widget.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/ui/pid_progress_tracker.cpp,A,,,
src/ui/print_control_buttons.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/ui/print_control_view.cpp,A,,,
src/ui/recovery_modal_presenter.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/ui/screensaver_manager.cpp,B,spdlog/fmt/json via shim,,
src/ui/screensaver_pipes.cpp,B,spdlog/fmt/json via shim,,
src/ui/screensaver_starfield.cpp,B,spdlog/fmt/json via shim,,
src/ui/setting_group.cpp,B,spdlog/fmt/json via shim,,
src/ui/splash_screen.cpp,B,spdlog/fmt/json via shim,,
src/ui/style_configs.cpp,A,,,
src/ui/temp_graph_controller.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/ui/temperature_controller.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/ui/temperature_service.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/ui/theme_loader.cpp,B,spdlog/fmt/json via shim,,
src/ui/theme_manager.cpp,B,spdlog/fmt/json via shim,,
src/ui/theme_manager_new.cpp,A,,,
src/ui/touch_calibration.cpp,B,spdlog/fmt/json via shim,,
src/ui/touch_calibration_panel.cpp,B,spdlog/fmt/json via shim,,
src/ui/touch_calibration_session.cpp,B,spdlog/fmt/json via shim,,
